"sample.id","name","Genus","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","Family","Order","Rank","taxonomy_lvl"
"51","Trollius sp.","Trollius",453,51753,0.875311576140514,NA,NA,"genus",NA
"23","Viola sp.","Viola",3795,66778,5.68300937434484,NA,NA,"genus",NA
"35","Viola sp.","Viola",2980,186141,1.60093692415964,NA,NA,"genus",NA
"40","Viola sp.","Viola",5847,711896,0.821327834402778,NA,NA,"genus",NA
"41","Viola sp.","Viola",6718,470206,1.42873549040208,NA,NA,"genus",NA
"49","Viola sp.","Viola",3938,51672,7.62114878464159,NA,NA,"genus",NA
"51","Viola sp.","Viola",3341,51753,6.45566440592816,NA,NA,"genus",NA
"60","Viola sp.","Viola",1026,209505,0.489725782200902,NA,NA,"genus",NA
"65","Viola sp.","Viola",9913,130796,7.57897795039604,NA,NA,"genus",NA
"15","Sorbus scopulina","Hedlundia",2045,74768,2.7351273271988,NA,NA,NA,"S"
"15","Sorbus scopulina","Karpatiosorbus",4119,74768,5.50904130109138,NA,NA,NA,"S"
"15","Rosaceae","Micromeles",2106,74768,2.81671303231329,NA,NA,NA,"F"
"45","Pseudostellaria jamesiana","Odontostemma",7,96,7.29166666666667,NA,NA,NA,"S"
