"site","date","species","caste","sample.id","morphotype","sum"
"Stormy.Pass","2015-06-21","mixtus","q",47,"UNKNOWN",2
"Stormy.Pass","2015-06-21","mixtus","q",47,"CONIFER",1
"Stormy.Pass","2015-06-21","mixtus","q",47,"ERICACEAE",1
"Copper.Creek","2015-07-14","nevadensis","q",48,"C",776
"Copper.Creek","2015-07-14","nevadensis","q",48,"UNKNOWN",1
"Frogs.Pond","2015-07-09","nevadensis","q",49,"C",1160
"Frogs.Pond","2015-07-09","nevadensis","q",49,"MERTENSIA",5
"Frogs.Pond","2015-07-09","nevadensis","q",49,"UNKNOWN",4
"Frogs.Pond","2015-07-09","nevadensis","q",49,"APIACEAE",1
"Copper.Creek","2015-06-15","nevadensis","q",51,"C",1093
"Copper.Creek","2015-06-15","nevadensis","q",51,"UNKNOWN",1
"Copper.Creek","2015-06-15","nevadensis","q",51,"B",27
"Avery.Wash","2015-06-12","nevadensis","q",52,"B",1641
"Avery.Wash","2015-06-12","nevadensis","q",52,"C",336
"Avery.Wash","2015-06-12","nevadensis","q",52,"D",1
"Avery.Wash","2015-06-12","nevadensis","q",52,"MERTENSIA",11
"Avery.Wash","2015-06-12","nevadensis","q",52,"UNKNOWN",26
"Frogs.Pond","2015-06-18","rufocinctus","q",53,"B",628
"Frogs.Pond","2015-06-18","rufocinctus","q",53,"C",6
"Frogs.Pond","2015-06-18","rufocinctus","q",53,"MERTENSIA",1
"Frogs.Pond","2015-06-18","rufocinctus","q",53,"ASTERACEAE_1",1
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",55,"MERTENSIA",2721
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",55,"C",215
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",55,"B",1180
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",55,"CAN'T_DISTINGUISH",0
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",55,"CONIFER",1
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",55,"UNKNOWN",1
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",56,"B",390
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",56,"C",180
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",56,"ASTERACEAE_1",1
"Frogs.Pond","2015-06-18","rufocinctus.dark","q",56,"MERTENSIA",1
"Frogs.Pond","2015-06-22","rufocinctus.dark","q",57,"B",592
"Frogs.Pond","2015-06-22","rufocinctus.dark","q",57,"C",109
"Frogs.Pond","2015-06-22","rufocinctus.dark","q",57,"MERTENSIA",102
"Frogs.Pond","2015-06-22","rufocinctus.dark","q",57,"ASTERACEAE_2",1
"Frogs.Pond","2015-06-22","rufocinctus.dark","q",57,"UNKNOWN",1
"Frogs.Pond","2015-06-29","rufocinctus.dark","q",58,"B",462
"Frogs.Pond","2015-06-29","rufocinctus.dark","q",58,"C",120
"Frogs.Pond","2015-06-29","rufocinctus.dark","q",58,"MERTENSIA",1
"Frogs.Pond","2015-06-29","rufocinctus.orange","q",60,"B",767
"Frogs.Pond","2015-06-29","rufocinctus.orange","q",60,"C",943
"Frogs.Pond","2015-06-29","rufocinctus.orange","q",60,"ASTERACEAE_1",20
