"Sample","Taxon","Rank","Genus","Family","Order","n"
"55","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",51231
"55","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",39634
"55","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",30315
"55","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",29251
"55","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",24669
"55","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",19167
"55","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",14195
"56","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",109086
"56","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",41936
"56","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",28355
"56","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",18710
"56","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",13478
"56","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",3192
"56","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",2085
"56","Nemophila breviflora","Species","Nemophila","Hydrophyllaceae","Boraginales",1956
"56","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",1630
"56","Sedum lanceolatum","Species","Sedum","Crassulaceae","Saxifragales",1384
"6","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",37538
"6","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",23443
"6","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",11711
"6","Symphyotrichum foliaceum","Species","Symphyotrichum","Asteraceae","Asterales",3467
"6","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",916
"6","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",870
"6","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",816
"6","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",699
"6","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",596
"6","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",571
"60","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",71098
"60","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",51196
"60","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",36547
"60","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",34837
"60","Lupinus sp.","Genus","Lupinus","Fabaceae","Fabales",10792
"60","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",3155
